medal,name,nationality,location,year,gender,prueba,mark,mark_x,mark_xx,mark_unidades
G,Mohamed FARAH,USA,Rio,2016,M,10000M,25:05.17,00:25:05.17,1505.17,segundos
S,Paul Kipngetich TANUI,KEN,Rio,2016,M,10000M,27:05.64,00:27:05.64,1625.64,segundos
B,Tamirat TOLA,ETH,Rio,2016,M,10000M,27:06.26,00:27:06.26,1626.26,segundos
G,Kenenisa BEKELE,ETH,Beijing,2008,M,10000M,27:01.17,00:27:01.17,1621.17,segundos
S,Sileshi SIHINE,ETH,Beijing,2008,M,10000M,27:02.77,00:27:02.77,1622.77,segundos
B,Micah KOGO,KEN,Beijing,2008,M,10000M,27:04.11,00:27:04.11,1624.11,segundos
G,Haile GEBRSELASSIE,ETH,Sydney,2000,M,10000M,27:18.20,00:27:18.20,1638.2,segundos
S,Paul TERGAT,KEN,Sydney,2000,M,10000M,27:18.29,00:27:18.29,1638.29,segundos
B,Assefa MEZGEBU,ETH,Sydney,2000,M,10000M,27:19.75,00:27:19.75,1639.75,segundos
G,Khalid SKAH,MAR,Barcelona,1992,M,10000M,27:46.70,00:27:46.70,1666.7,segundos
S,Richard CHELIMO,KEN,Barcelona,1992,M,10000M,27:47.72,00:27:47.72,1667.72,segundos
B,Addis ABEBE,ETH,Barcelona,1992,M,10000M,28:00.07,00:28:00.07,1680.07,segundos
G,Alberto COVA,ITA,Los Angeles,1984,M,10000M,27:47.54,00:27:47.54,1667.54,segundos
S,Michael MCLEOD,GBR,Los Angeles,1984,M,10000M,28:06.22,00:28:06.22,1686.22,segundos
B,Michael MUSYOKI,KEN,Los Angeles,1984,M,10000M,28:06.46,00:28:06.46,1686.46,segundos
G,Lasse VIREN,FIN,Montreal,1976,M,10000M,27:40.38,00:27:40.38,1660.38,segundos
S,Carlos LOPES,POR,Montreal,1976,M,10000M,27:45.17,00:27:45.17,1665.17,segundos
B,Brendan FOSTER,GBR,Montreal,1976,M,10000M,27:54.92,00:27:54.92,1674.92,segundos
G,Naftali TEMU,KEN,Mexico,1968,M,10000M,29:27.4,29:27.4,,segundos
S,Mamo WOLDE,ETH,Mexico,1968,M,10000M,29:28.0,29:28.0,,segundos
B,Mohamed GAMMOUDI,TUN,Mexico,1968,M,10000M,29:34.2,29:34.2,,segundos
G,Pyotr BOLOTNIKOV,URS,Rome,1960,M,10000M,28:32.2,28:32.2,,segundos
S,Hans GRODOTZKI,EUA,Rome,1960,M,10000M,28:37.0,28:37.0,,segundos
B,David POWER,AUS,Rome,1960,M,10000M,28:38.2,28:38.2,,segundos
G,Emil ZÃTOPEK,TCH,Helsinki,1952,M,10000M,29:17.0,29:17.0,,segundos
S,Alain MIMOUN,FRA,Helsinki,1952,M,10000M,29:32.8,29:32.8,,segundos
B,Aleksandr ANUFRIYEV,URS,Helsinki,1952,M,10000M,29:48.2,29:48.2,,segundos
G,Ilmari SALMINEN,FIN,Berlin,1936,M,10000M,30:15.4,30:15.4,,segundos
S,Arvo ASKOLA,FIN,Berlin,1936,M,10000M,30:15.6,30:15.6,,segundos
B,Volmari ISO-HOLLO,FIN,Berlin,1936,M,10000M,30:20.2,30:20.2,,segundos
G,Paavo NURMI,FIN,Amsterdam,1928,M,10000M,30:18.8,30:18.8,,segundos
S,Ville RITOLA,FIN,Amsterdam,1928,M,10000M,30:19.4,30:19.4,,segundos
B,Edvin WIDE,SWE,Amsterdam,1928,M,10000M,31:00.8,31:00.8,,segundos
G,Paavo NURMI,FIN,Antwerp,1920,M,10000M,31:45.8,31:45.8,,segundos
S,Joseph GUILLEMOT,FRA,Antwerp,1920,M,10000M,31:47.2,31:47.2,,segundos
B,James WILSON,GBR,Antwerp,1920,M,10000M,31:50.8,31:50.8,,segundos
G,Mohamed FARAH,GBR,London,2012,M,10000M,27:30.42,00:27:30.42,1650.42,segundos
S,Galen RUPP,USA,London,2012,M,10000M,27:30.90,00:27:30.90,1650.9,segundos
B,Tariku BEKELE,ETH,London,2012,M,10000M,27:31.43,00:27:31.43,1651.43,segundos
G,Kenenisa BEKELE,ETH,Athens,2004,M,10000M,27:05.10,00:27:05.10,1625.1,segundos
S,Sileshi SIHINE,ETH,Athens,2004,M,10000M,27:09.39,00:27:09.39,1629.39,segundos
B,Zersenay TADESE,ERI,Athens,2004,M,10000M,27:22.57,00:27:22.57,1642.57,segundos
G,Haile GEBRSELASSIE,ETH,Atlanta,1996,M,10000M,27:07.34,00:27:07.34,1627.34,segundos
S,Paul TERGAT,KEN,Atlanta,1996,M,10000M,27:08.17,00:27:08.17,1628.17,segundos
B,Salah HISSOU,MAR,Atlanta,1996,M,10000M,27:24.67,00:27:24.67,1644.67,segundos
G,Miruts YIFTER,ETH,Moscow,1980,M,10000M,27:42.7,27:42.7,,segundos
S,Kaarlo MAANINKA,FIN,Moscow,1980,M,10000M,27:44.3,27:44.3,,segundos
